question,option,answer,university,explanation,field
Can you stop (      ) my office this evening?,after/away/by/from,by,大阪経済大,〈stop by ~〉で「〜に（立ち寄る）」という重要熟語。文脈は「今晩私のオフィスに立ち寄ってもらえますか」となる。,熟語
Mary apologized (      ) her absence on the presentation day.,with/for/into/of,for,大阪経済大,「（事柄）について謝罪する」は自動詞apologizeの後ろに前置詞forを続けるルールがある（apologize for ~）。ちなみに「人」に謝るならtoを用いる。,動詞の語法
(      ) this paper will definitely be impressed.,Whomever read/Whoever reads/Whosever write/Whosever writes,Whoever reads,大阪経済大,will definitely be impressedの主語（名詞節）を作る複合関係代名詞を選ぶ。動詞readsの主語として機能し「この論文を読む人は誰でも」という意味になるwhoeverが正解。,関係詞
Two thirds of the building (      ).,was destroyed/destroyed/destroys/destroy,was destroyed,大阪経済大,分数（Two thirds of ~）が主語の場合、動詞の単数・複数はofの後ろの名詞（the building：単数名詞）に一致させるため、単数受動態のwas destroyed（破壊された）が正解。,主語と動詞の一致/時制
He (      ) her from sleeping.,avoided/disturbed/prevented/protected,prevented,工学院大,〈prevent A from -ing〉で「Aが〜するのを妨げる、防ぐ」という最頻出の語法。「彼は彼女が眠るのを妨げた」という意味になる。,動詞の語法
I suggested that he (      ) a rest.,take/taken/takes/taking,take,工学院大,suggest（提案する）のように「提案・要求・命令・主張」を表す動詞のthat節内では、〈主語 + 動詞の原形（または should + 原形）〉にするルールがある。,動詞の語法/時制
"Yesterday, I (      ) into one of my classmates on the street.",found/met/ran/saw,ran,工学院大,〈run into ~〉で「〜に偶然出会う、出くわす（= bump into）」という重要熟語。文脈は「昨日、通りでクラスメイトの1人に偶然出会った」となる。,熟語
Sam looked (      ) when the teacher asked him to give a presentation.,embarrass/embarrassed/embarrasses/embarrassing,embarrassed,工学院大,感情を表す動詞は「（主語が人のとき）過去分詞で受動（〜させられてその感情になる）」、 「（主語が物のとき）現在分詞で能動（〜な気持ちにさせる）」というルール。主語がSam（人）なので過去分詞が正解。,分詞
You can stay here (      ) you want.,as far as/as long as/as many as/as soon as,as long as,工学院大,〈as long as ~〉は「〜する限りは（条件・時間）」、〈as far as ~〉は「〜する限りでは（範囲・限界）」。今回は「あなたがいたいと思う限り（条件）」なのでas long asが正解。,接続詞/熟語
He arranged his visit to (      ) with the start of baseball season.,coindex/clarify/constrain/cultivate,coincide,東京理科大,〈coincide with ~〉で「〜と同時に起こる、一致する」という重要熟語。「野球シーズンの開幕と同時に訪れるように調整した」という意味になる。,熟語/動詞の語法
The weather office was able to (      ) predict the path of the storm.,accurately/imply/costly/multiply,accurately,東京理科大,動詞predict（予測する）を修飾する適切な副詞を選ぶ。「気象庁は嵐の進路を正確に（accurately）予測することができた」となる。,副詞の語法/語彙
Seven farmers were held (      ) by the rebel army for almost three weeks.,progressive/extensive/motive/captive,captive,東京理科大,〈hold A captive〉で「Aを捕虜（人質）にしておく」という重要表現。受動態（be held captive）になり「7人の農民が反乱軍に約3週間捕らえられていた」となる。,語彙/熟語
Getting to the top of Mt. Everest was a major (      ).,accordance/adjacent/accomplishment/attachment,accomplishment,東京理科大,文脈から名詞を選ぶ。「エベレストの頂上に到達することは、大きな偉業（accomplishment＝達成、実績）だった」となる。,語彙
The politician said some very (      ) things about his opponent.,loyalty/penalty/pity/nasty,nasty,東京理科大,名詞thingsを修飾する形容詞を選ぶ。文脈から「その政治家は対立候補について、とても意地が悪い（nasty＝不快な、えげつない）ことを言った」となる。,語彙
I had (      ) arrived home when the phone rang.,scarcely/heavenly/rely/worthy,scarcely,東京理科大,〈had scarcely + 過去分詞 ... when ~〉で「〜するかしないかのうちに…した」という比喩的な時間表現。「家に着くか着かないかのうちに電話が鳴った」となる。,熟語/副詞の語法
There was an (      ) silence after his embarrassing speech.,absence/abolish/awkward/astonish,awkward,東京理科大,名詞silence（沈黙）を修飾する適切な形容詞を選ぶ。「彼の恥ずかしいスピーチの後、気まずい（awkward）沈黙があった」となる。,語彙
"Hi, Atsuko. It’s been a (      ). How have you been?",little/long/miss/while,while,東京理科大,〈It's been a while.〉で「久しぶり」という定番の挨拶表現（whileは「しばらくの時間」という名詞）。,熟語/会話表現
The company made an (      ) effort to keep the scandal a secret.,intend/impose/instinct/intentional,intentional,東京理科大,名詞effort（努力）を修飾する形容詞を選ぶ。「その会社はスキャンダルを秘密にするために、意図的な（intentional＝計画的な）努力をした」となる。,語彙
The city needs to (      ) a new plan to reduce traffic accidents.,devise/initiative/tribute/premise,devise,東京理科大,to不定詞の後ろで、a new planを目的語にとれる動詞を選ぶ。「市は交通事故を減らすための新しい計画を考案する（devise）必要がある」となる。,語彙
He suffered terrible (      ) for months after his sister died.,sorry/grief/negative/shocking,grief,東京理科大,形容詞terribleの修飾を受け、動詞suffer（苦しむ）の目的語になる名詞を選ぶ。文脈から「姉（妹）が亡くなった後、数ヶ月間ひどい深い悲しみ（grief）に苦しんだ」となる。,語彙
"The price of cabbage has gone up sharply, mainly (      ) to the awful weather we had last year.",conceding/owing/depicting/executing,owing,東京理科大,後ろのtoと結びついて理由を表す形を作る。〈owing to ~〉で「〜のために、〜が原因で（= due to / because of）」という重要熟語。,熟語
He (      ) up at the dark clouds and wondered if it would soon start to rain.,gazed/dedicated/praised/neglected,gazed,東京理科大,後ろの前置詞up atと相性が良く、文脈に合う自動詞を選ぶ。〈gaze up at ~〉で「〜をじっと見上げる」という表現（他はすべて他動詞）。,動詞の語法/語彙
The searchers (      ) their efforts to find the missing climbers.,peeled/convicted/resided/intensified,intensified,東京理科大,目的語their efforts（彼らの努力）を伴って文脈に合う他動詞を選ぶ。「捜索隊は行方不明の登山者を見つけるための努力を強めた（intensified＝強化した）」となる。,語彙
"(      ) I find math quite easy, I find physics rather difficult.",How/Why/While/Whose,While,京都理科大,「数学はとても簡単だと思う【一方で】、物理はかなり難しいと思う」という、対比（〜の一方で）の譲歩節をつくる接続詞のwhileが正解。,接続詞
All travel expenses must (      ) by the department head.,approve/approved/be approved/be approving,be approved,東京理科大,主語のAll travel expenses（すべての旅費）と、動詞approve（承認する）の関係は「承認される」という受動なので、助動詞mustの後ろに〈be + 過去分詞〉を続ける。,受動態
If I had known he was ill I (      ) him sooner.,should call/should be called/would be called/would have called,would have called,東京理科大,If節がhad known（過去完了形）なので、過去の事実に反する仮定を表す仮定法過去完了の文。帰結節は〈助動詞の過去形 + have + 過去分詞〉にする。,仮定法
You need to submit your test paper (      ) with your notebook.,despite/over/upon/along,along,東京理科大,後ろのwithと結びついて「〜と一緒に、〜に加えて」という意味を作る前置詞を探す。〈along with ~〉が正解。,熟語/前置詞
I either lost my wallet or it (      ).,is steal/is stealing/was steal/was stolen,was stolen,東京理科大,代名詞it（＝私の財布）と、動詞steal（盗む）の関係は「盗まれた」という受動であり、lost（過去形）と時制を合わせて過去受動態のwas stolenにする。,受動態/時制
By this time next year I (      ) English for over seven years.,would be studied/will have been studying/will be studied/would have studied,will have been studying,東京理科大,By this time next year（来年の今頃までには）という未来の基準点があり、for over seven years（7年以上ずっと）という期間の継続を表すため、未来完了進行形にする。,時制
"Akiko can’t dance, and she can’t sing (      ).",either/less/more/neither,either,立命館大,否定文の文末に置いて「〜もまた…ない」を表す副詞を選ぶ。肯定文ならtooを用いるが、can't（否定文）の文末なのでeitherが正解（neitherは単独で否定を表すため、否定語のnotと同時には使えない）。,代名詞/副詞の語法
He (      ) there for twelve years by the end of this year.,had lived/has lived/will have lived/will live,will have lived,立命館大,by the end of this year（今年の終わりまでには）という未来の基準点があり、for twelve years（12年間ずっと）という継続を表しているため、未来完了形にする。,時制
We hope to open a branch of our company in a new region (      ) real estate is rather inexpensive.,what/where/whether/which,where,立命館大,先行詞がa new region（新しい地域）であり、後ろの節（real estate is...）が完全な文（欠落がない文）なので、副詞の役割をする関係副詞のwhereが正解。,関係詞
(      ) of you needs to write a report during this class.,All/Almost/Each/Most,Each,立命館大,述語動詞がneedsと三人称単数形になっているのが最大のヒント。AllやMostは「of 複数名詞」の後ろでは複数扱いになるため不可。単数扱いになるEach（〜のそれぞれ）が正解。,代名詞/主語と動詞の一致
"While he (      ) his homework, he fell asleep.",does/had done/has done/was doing,was doing,立命館大,fell asleep（眠り込んでしまった）という過去の「一瞬の出来事」が、宿題を「している最中（過去の進行中の動作）」に起こったことを表すため、過去進行形にする。,時制
"They (      ) send it to you last week, but they completely forgot.",ought to/meant to/supposed to/were to have,meant to,立命館大,〈mean to do〉で「〜するつもりである」。過去形（meant to do）にすることで「〜するつもりだった（が、実際はしなかった）」という過去の意図を表す。他の選択肢は後ろに原形を直接繋げられない。,動詞の語法/熟語
I will be given a new suitcase to make up (      ) that was broken.,for/for it/for the one/one,for the one,立命館大,〈make up for ~〉で「〜の埋め合わせをする」という重要熟語。さらに、後ろのthat節（関係代名詞）からの修飾を受けるため、不特定の名詞を指す代名詞のoneに定冠詞をつけたthe one（＝壊されたスーツケース）を伴う「for the one」が正解。,熟語/代名詞
I will never regret (      ) the matter to the police.,not being reported/not having reported/not to report/not to be reported,not having reported,立命館大,regretは後ろに動名詞（-ing）をとって「〜したことを後悔する」という意味になる（to不定詞だと「残念ながら〜する」）。さらに「（過去に）報告しなかったこと」という主節より前の否定を表すため、動名詞の完了否定形〈not having + 過去分詞〉にする。,動詞の語法/準動詞
You should check the battery of your phone just in (      ).,case/fact/imagination/story,case,神戸松蔭女子学院大,〈just in case〉で「念のために、万が一に備えて」という重要熟語。文脈は「万が一に備えてスマホのバッテリーを確認しておくべきだ」となる。,熟語
She was (      ) angry that she walked out of the room.,many/much/so/such,so,神戸松蔭女子学院大,〈so + 形容詞/副詞 + that ~〉で「とても〜なので…だ」という程度・結果を表す重要構文。後ろに形容詞のangryがあるためsoが正解（suchなら後ろに名詞が必要）。,副詞の語法/熟語
I’ll call you as soon as the guests (      ).,arrive/arriving/to arrive/will arrive,arrive,神戸松蔭女子学院大,as soon as（〜するとすぐに）は時を表す副詞節をつくる。副詞節の中では、未来のことでも未来時制（will arrive）ではなく現在時制（arrive）を用いるルールがある。,時制
He is the one (      ) started the project first.,when/which/who/whose,who,神戸松蔭女子学院大,先行詞のthe oneは「人（彼）」を指しており、後ろの節（started...）の主語が欠落している（主格）ため、関係代名詞のwhoが正解。,関係詞
The population of the city has decreased (      ) 30% compared to 3 years ago.,at/by/of/with,by,神戸松蔭女子学院大,増減を表す動詞（decrease/increase）の後ろに置いて、差や割合（〜の分だけ）を表す前置詞を選ぶ。〈decrease by 30%〉で「30%減少した」となる。,前置詞
I (      ) with the idea of going to study abroad next year.,am excited/am exciting/get excite/get exciting,am excited,神戸松蔭女子学院大,感情を表す動詞excite（〜を興奮させる）の語法。主語がI（人）で「（私が）ワクワクしている」という受動の心理状態を表すため、過去分詞を用いたam excitedが正解。,分詞
I stopped (      ) because I injured my leg last week.,ran/run/running/to run,running,神戸松蔭女子学院大,stopは後ろに動名詞（-ing）をとって「〜するのをやめる」という意味になる（to不定詞だと「〜するために立ち止まる」）。文脈は「脚を痛めたので走るのをやめた」となる。,動詞の語法
It seemed cold this morning so I (      ) a thick jacket.,put on/putting on/wear in/wore in,put on,神戸松蔭女子学院大,「服を着る」という動作（〜を身につける）を表す熟語のput onが正解（時制は過去形）。wearは「着ている」という状態を表す。,熟語
Anna was worried that (      ) his way home.【並べ替え】,have/may/on/lost/gotten/her son,her son may have gotten lost on,獨協大,〈may have + 過去分詞〉で「〜したかもしれない」という過去の推量、〈get lost〉で「道に迷う」、〈on one's way home〉で「家に帰る途中で」という重要表現を組み合わせる。完成文：Anna was worried that her son may have gotten lost on his way home.,助動詞/熟語
"Diana wants to (      ) Christmas Eve, (      ) having a candlelight dinner.【並べ替え】",special/on/something/as/do/such,do something special on/such as,獨協大,"-thingで終わる代名詞は形容詞（special）を後ろから修飾するルール。後半は具体例を挙げる〈such as -ing〉（〜のような）の形にする。完成文：Diana wants to do something special on Christmas Eve, such as having a candlelight dinner.",代名詞/熟語
"During a marathon, I got (      ) any further and (      ) instead.【並べ替え】",tired/to/walking/run/too/started,too tired to run/started walking,獨協大,"前半は〈too + 形容詞 + to 不定詞〉で「とても〜なので…できない」の形（too tired to run）。後半はinstead（代わりに）と結びついて「歩き始めた」とする。完成文：During a marathon, I got too tired to run any further and started walking instead.",副詞の語法/時制
Jeremy helped his daughter get a job at (      ).【並べ替え】,worked/where/had/the/he/company,the company where he had worked,獨協大,先行詞 the company を、関係副詞 where が後ろから修飾する形を作る。helped（過去）よりも前にそこで働いていたため、whereの中は過去完了形（had worked）にする。完成文：Jeremy helped his daughter get a job at the company where he had worked.,関係詞/時制
"When Jackie quit the company, the manager (      ) job.【並べ替え】",her/asked/take/Brad/over/to,asked Brad to take over her,獨協大,"〈ask + 人 + to do〉で「人に〜するように頼む」。さらに〈take over ~〉で「〜（仕事など）を引き継ぐ」という重要熟語を組み合わせる。完成文：When Jackie quit the company, the manager asked Brad to take over her job.",動詞の語法/熟語
Job hunting today is completely different (      ) a few decades ago.【並べ替え】,be/what/from/used/to/it,from what it used to be,獨協大,〈be different from ~〉（〜と異なる）の後に、関係代名詞 what を用いた重要慣用表現〈what it used to be〉（かつての姿、昔の状態）を続ける。完成文：Job hunting today is completely different from what it used to be.,熟語/関係詞
I am twenty years old. I have (      ) like a child.【並べ替え】,idea/why/treats/no/me/my father,no idea why my father treats me,獨協大,〈have no idea + 疑問詞節〉で「〜かさっぱりわからない」。whyの中は〈主語（my father）＋動詞（treats）＋目的語（me）〉の正常な語順（間接疑問文）にする。完成文：I am twenty years old. I have no idea why my father treats me like a child.,熟語/接続詞
"(      ), our lives would be dull and boring.【並べ替え】",for/it/not/music/if/were,if it were not for music,獨協大,"帰結節が would be と仮定法過去になっているため、If節も仮定法過去の公式に当てはめる。「もし〜がなければ」を表す定型表現〈If it were not for ~〉を作る。完成文：If it were not for music, our lives would be dull and boring.",仮定法
Lucy has lots of favorite picture books. (      ) Alice in Wonderland.【並べ替え】,she/the/is/most/the one/loves,the one she loves the most is,獨協大,名詞 the one（＝お気に入りの本）を、関係代名詞が省略された形容詞節（she loves the most）が後ろから修飾する形を作る。これが文の主語になり、後ろに動詞のisを続ける。完成文：Lucy has lots of favorite picture books. The one she loves the most is Alice in Wonderland.,代名詞/関係詞
(      ) think we (      ) to save the world’s rainforests?【並べ替え】,can/do/take/what/you/action,what action do you/can take,獨協大,疑問詞 what が名詞 action を修飾して「どんな行動を」という塊を作り、疑問文の語順（do you think ~）が続く。thinkの後ろの接続詞thatが省略された節の中に、can takeを配置する。完成文：What action do you think we can take to save the world’s rainforests?,接続詞/助動詞
"Ryan (      ) university, and he never (      ) a construction company.【並べ替え】",joining/studied/at/of/thought/history,studied history at/thought of joining,獨協大,"前半は「大学で歴史を勉強した（studied history at university）」。後半は〈think of -ing〉で「〜することを考える」という熟語を用い、neverと結びついて「建設会社に加わることなど全く考えなかった」とする。完成文：Ryan studied history at university, and he never thought of joining a construction company.",時制/熟語
Tofu (      ) abroad because it is popular around the world.【並べ替え】,at/found/can/be/many/supermarkets,can be found at many supermarkets,獨協大,主語のTofu（豆腐）に対して、助動詞canを用いた受動態〈can + be + 過去分詞（found）〉を組み立てる。後ろに場所を表す前置詞atを続け、「多くのスーパーで見つけることができる」とする。完成文：Tofu can be found at many supermarkets abroad because it is popular around the world.,助動詞/受動態
"Much (      ) my surprise, she is not what she was five years ago.",in/with/to/about,to,北里大,〈to one's + 感情名詞〉で「〜が（驚いた・残念な）ことには」という重要表現（Muchはそれを強調する副詞）。後半の〈what one was〉「過去の（5年前の）彼女の姿」と合わせて、「私が大いに驚いたことには、彼女は5年前の彼女とは違っている」となる。,熟語/関係詞
Some problems remain to (      ) before we go further.,be solved/solved/be solving/solving,be solved,北里大,〈remain to be + 過去分詞〉で「まだ〜されずに残っている」という重要語法。主語のSome problems（いくつかの問題）とsolve（解決する）の関係は「解決される」という受動なので、不定詞の受動態（be solved）が正解。,動詞の語法/受動態
A plan is underway to examine the (      ) discovered planet.,renewed/new-born/new/newly,newly,北里大,後ろにある過去分詞（形容詞の働きをしている）discoveredを修飾できるのは副詞なので、newly（新しく、最近）が正解。,副詞の語法
Please wait in this room (      ) you are called.,who/why/until/by,until,北里大,「〜までずっと（継続）」を表し、後ろに文（節）を続けることができる接続詞のuntilが正解（byは「〜までに（期限）」を表す前置詞なので後ろに文を置けない）。,接続詞/前置詞
"(      ) next year, a new policy will be applied to our factory.",Starting/Be started/Start/To started,Starting,北里大,〈Starting + 時期〉で「〜から、〜を皮切りに」という、前置詞的に用いられる現在分詞の慣用表現。「来年から、新しい方針が工場に適用される」となる。,分詞/熟語
The workload of our company is (      ) with that of a much larger company.,popular/accurate/assuring/comparable,comparable,北里大,〈be comparable with [to] ~〉で「〜に匹敵する、〜と比較できる」という重要熟語。「我が社の仕事量は、もっと大企業のそれ（仕事量）に匹敵する」という意味になる。,熟語
"When you are older, it would be better to be equipped mentally to deal with (      ) happens.",whenever/whatever/whoever/however,whatever,北里大,前置詞withの目的語（名詞節）となり、後ろの動詞happensの主語になれる複合関係代名詞を選ぶ。〈whatever happens〉で「何が起ころうとも」という意味になる。,関係詞
(      ) had I returned home when it began to snow.,Soon/If/Hardly/Ever,Hardly,北里大,〈Hardly [Scarcely] had + 主語 + 過去分詞 ... when [before] ~〉で「〜するかしないかのうちに…した」という重要構文。Hardlyという否定語が文頭に出ているため、後ろが「had I returned」と倒置形になっている。,熟語/否定
"As she got a degree in education at a university in France, she is (      ) for teaching French at our school.",qualified/able/advanced/improved,qualified,北里大,〈be qualified for ~ [to do]〉で「〜の資格がある、適任である」という重要表現。「フランスの大学で教育学の学位を取得したので、彼女は本校でフランス語を教える資格がある」となる。,語彙/熟語
There is no possibility of their (      ) in the project.,successive/succeeding/succeeded/succeed,succeeding,北里大,前置詞ofの後ろなので動名詞（-ing）の形にする。theirは動名詞の意味上の主語。〈succeed in ~〉で「〜に成功する」という熟語なので、succeedingが正解。,準動詞/熟語
"More than 800 students are now enrolled in the new school and that number (      ) to rise to 2,000.",will expect/is expecting/is expected/has expected,is expected,慶應義塾大,〈be expected to do〉で「〜すると予想されている」という重要語法。主語の that number（その数）は予想される側なので、受動態の is expected が正解。,動詞の語法/受動態
